id,Function_name,description_en,Category,syntax_en,example_en,Tutorial_1,Tutorial_2,Tutorial_3,Tutorial_4
111,CUMPRINC,Returns the cumulative principal paid on a loan between two periods,Financial,"CUMPRINC(rate,nper,pv,start_period,end_period,type)","=CUMPRINC(0.04/12,48,5000,1,12,0)",Compute cumulative principal repayments.,Manage debt repayments.,Budget forecasting for principal payments.,Analyze loan amortization.
112,DATE,Returns the serial number of a particular date,Date and time,"DATE(year,month,day)","=DATE(2025,12,31)",Create dates from separate values.,Generate dynamic project timelines.,Automate date-driven reports.,Schedule planning in spreadsheets.
113,DATEDIF,"Calculates the number of days, months, or years between two dates. This function is useful in formulas where you need to calculate an age.",Date and time,"DATEDIF(start_date,end_date,unit)","=DATEDIF(""1-Jan-2023"",""1-Jan-2024"",""m"")",Calculate differences between dates.,Age calculation for HR management.,Duration analysis for project planning.,Tenure calculation for employment records.
114,DATEVALUE,Converts a date in the form of text to a serial number,Date and time,DATEVALUE(date_text),"=DATEVALUE(""01/01/2025"")",Convert text dates to numeric format.,Clean imported text dates.,Standardize date formats for analysis.,Automate date parsing from data feeds.
115,DAVERAGE,Returns the average of selected database entries,Database,"DAVERAGE(database,field,criteria)","=DAVERAGE(A1:C7,""Salary"",E1:E2)",Calculate averages in databases with criteria.,Employee salary analysis.,Analyze sales average by region.,Financial data summaries with conditions.
116,DAY,Converts a serial number to a day of the month,Date and time,DAY(serial_number),"=DAY(""2024-12-25"")",Extract day number from dates.,Analyze monthly sales data.,Daily reporting automation.,Date-based filtering in analysis.
117,DAYS,Returns the number of days between two dates,Date and time,"DAYS(end_date,start_date)","=DAYS(""31-Dec-2025"",""1-Jan-2025"")",Count total days between two dates.,Project duration calculations.,Countdown to deadlines.,Analyze durations in logistics planning.
118,DAYS360,Calculates the number of days between two dates based on a 360-day year,Date and time,"DAYS360(start_date,end_date,[method])","=DAYS360(""1-Jan-2025"",""31-Dec-2025"")",Financial year calculations.,Loan interest computations.,Accounting period analysis.,Bond payment scheduling.
119,DB,Returns the depreciation of an asset for a specified period by using the fixed-declining balance method,Financial,"DB(cost,salvage,life,period,[month])","=DB(10000,1000,5,1)",Calculate declining balance depreciation.,Manage asset depreciation schedules.,Budget for asset replacements.,Financial reporting on assets.
120,DBCS,Changes half-width (single-byte) English letters or katakana within a character string to full-width (double-byte) characters,Text,DBCS(text),"=DBCS(""Excel"")",Convert text to double-byte characters.,Multilingual report preparation.,Data migration for Asian databases.,Standardize text encoding.
121,DCOUNT,Counts the cells that contain numbers in a database,Database,"DCOUNT(database,field,criteria)","=DCOUNT(A1:C7,""Age"",E1:E2)",Count numeric database entries with criteria.,HR demographics reporting.,Statistical analysis in marketing.,Data filtering counts.
122,DCOUNTA,Counts nonblank cells in a database,Database,"DCOUNTA(database,field,criteria)","=DCOUNTA(A1:C7,""Name"",E1:E2)",Count non-empty database entries.,Employee database completeness check.,Inventory management data audits.,CRM data quality assurance.
123,DDB,Returns the depreciation of an asset for a specified period by using the double-declining balance method or some other method that you specify,Financial,"DDB(cost,salvage,life,period,[factor])","=DDB(5000,200,10,2)",Double declining balance depreciation.,Asset management accounting.,Financial projections for equipment.,Budget allocation for depreciation.
124,DEC2BIN,Converts a decimal number to binary,Engineering,"DEC2BIN(number,[places])",=DEC2BIN(12),Convert decimal numbers to binary.,Binary system teaching.,Numeric conversions for computing.,Data encoding tasks.
125,DEC2HEX,Converts a decimal number to hexadecimal,Engineering,"DEC2HEX(number,[places])",=DEC2HEX(255),Decimal to hexadecimal conversion.,Web color code generation.,Programming numeric conversions.,Data preparation for software.
126,DEC2OCT,Converts a decimal number to octal,Engineering,"DEC2OCT(number,[places])",=DEC2OCT(64),Decimal to octal conversion.,Legacy system numeric data preparation.,Numeric system demonstrations.,Educational numeric system lessons.
127,DECIMAL,Converts a text representation of a number in a given base into a decimal number,Math and trigonometry,"DECIMAL(text,radix)","=DECIMAL(""FF"",16)",Convert number from any base to decimal.,Numeric conversions in software development.,Engineering data interpretation.,Data import and processing.
128,DEGREES,Converts radians to degrees,Math and trigonometry,DEGREES(angle),=DEGREES(PI()),Convert radians to degrees.,Geometry problem-solving.,Engineering angle conversions.,Physics and math calculations.
129,DELTA,Tests whether two values are equal,Engineering,"DELTA(number1,[number2])","=DELTA(5,5)",Test numeric equality.,Logical tests in calculations.,Engineering tolerance checks.,Data validation comparisons.
130,DETECTLANGUAGE,Identifies the language of a specified text,Text,DETECTLANGUAGE(text),"=DETECTLANGUAGE(""Hello"")",Identify text language automatically.,Multilingual data sorting.,Customer support language routing.,Automate translation workflows.
131,DEVSQ,Returns the sum of squares of deviations,Statistical,"DEVSQ(number1,[number2],...)",=DEVSQ(A1:A7),Compute sum of squared deviations.,Statistical variance analysis.,Quality control data evaluation.,Analyze dispersion of test scores.
132,DGET,Extracts from a database a single record that matches the specified criteria,Database,"DGET(database,field,criteria)","=DGET(A1:C7,""Salary"",E1:E2)",Retrieve single database record matching criteria.,Employee detail lookups.,Product pricing retrievals.,CRM database querying.
133,DISC,Returns the discount rate for a security,Financial,"DISC(settlement,maturity,pr,redemption,[basis])","=DISC(""1-Jan-2025"",""1-Jan-2026"",98,100)",Calculate discount rates for securities.,Financial investment analysis.,Bond investment evaluations.,Financial reporting accuracy.
134,DMAX,Returns the maximum value from selected database entries,Database,"DMAX(database,field,criteria)","=DMAX(A1:C7,""Sales"",E1:E2)",Find maximum database value with criteria.,Sales performance analytics.,HR salary benchmarking.,Inventory maximum stock checks.
135,DMIN,Returns the minimum value from selected database entries,Database,"DMIN(database,field,criteria)","=DMIN(A1:C7,""Price"",E1:E2)",Find minimum database value with criteria.,Price evaluation in procurement.,Lowest-performing products identification.,Budgeting minimum-cost analysis.
136,DOLLAR,"Converts a number to text, using the $ (dollar) currency format",Text,"DOLLAR(number,[decimals])","=DOLLAR(1234.56,2)",Format numbers as currency text.,Financial reporting formatting.,Invoice total formatting.,Budget reporting enhancements.
137,DOLLARDE,"Converts a dollar price, expressed as a fraction, into a dollar price, expressed as a decimal number",Financial,"DOLLARDE(fractional_dollar,fraction)","=DOLLARDE(1.02,16)",Convert fractional currency to decimal.,Financial market analysis.,Stock price evaluations.,Bond price conversions.
138,DOLLARFR,"Converts a dollar price, expressed as a decimal number, into a dollar price, expressed as a fraction",Financial,"DOLLARFR(decimal_dollar,fraction)","=DOLLARFR(1.125,8)",Convert decimal currency to fractional.,Financial trading analysis.,Bond market data preparation.,Stock market price representation.
139,DPRODUCT,Multiplies the values in a particular field of records that match the criteria in a database,Database,"DPRODUCT(database,field,criteria)","=DPRODUCT(A1:C7,""Quantity"",E1:E2)",Multiply database entries meeting criteria.,Inventory quantity analysis.,Bulk purchasing calculations.,Manufacturing production estimates.
140,DROP,Excludes a specified number of rows or columns from the start or end of an array,Lookup and reference,"DROP(array,rows,[columns])","=DROP(A1:C2,2)",Remove rows or columns from array data.,Clean datasets for analysis.,Simplify report generation.,Prepare data for visualization.
141,DSTDEV,Estimates the standard deviation based on a sample of selected database entries,Database,"DSTDEV(database,field,criteria)","=DSTDEV(A1:C7,""Revenue"",E1:E2)",Database standard deviation sample.,Analyze variability in sales.,Evaluate financial performance metrics.,Statistical quality control.
142,DSTDEVP,Calculates the standard deviation based on the entire population of selected database entries,Database,"DSTDEVP(database,field,criteria)","=DSTDEVP(A1:C7,""Cost"",E1:E2)",Database standard deviation population.,Full population sales data analysis.,Cost variability assessment.,Product consistency analysis.
143,DSUM,Adds the numbers in the field column of records in the database that match the criteria,Database,"DSUM(database,field,criteria)","=DSUM(A1:C7,""Profit"",E1:E2)",Sum database records meeting criteria.,Profitability analysis per region.,Sales total for specific products.,Budgeting based on departmental data.
144,DURATION,Returns the annual duration of a security with periodic interest payments,Financial,"DURATION(settlement,maturity,coupon,yld,frequency,[basis])","=DURATION(""1-Jan-2024"",""1-Jan-2029"",0.05,0.04,2)",Calculate bond duration sensitivity.,Risk analysis of bond investments.,Financial asset management.,Portfolio duration balancing.
145,DVAR,Estimates variance based on a sample from selected database entries,Database,"DVAR(database,field,criteria)","=DVAR(A1:C7,""Sales"",E1:E2)",Sample variance of database.,Evaluate market data variability.,HR data analysis for variability.,Cost management analysis.
146,DVARP,Calculates variance based on the entire population of selected database entries,Database,"DVARP(database,field,criteria)","=DVARP(A1:C7,""Price"",E1:E2)",Population variance of database.,Pricing consistency evaluation.,Product performance tracking.,Inventory control analysis.
147,EDATE,Returns the serial number of the date that is the indicated number of months before or after the start date,Date and time,"EDATE(start_date,months)","=EDATE(""1-Jan-2024"",6)",Calculate dates after given months.,Subscription renewal scheduling.,Project timeline adjustments.,Inventory reorder scheduling.
148,EFFECT,Returns the effective annual interest rate,Financial,"EFFECT(nominal_rate,npery)","=EFFECT(0.06,4)",Effective annual interest rate.,Financial loan comparisons.,Investment return analysis.,Savings account rate evaluations.
149,ENCODEURL,Returns a URL-encoded string,Web,ENCODEURL(text),"=ENCODEURL(""https://example.com/query?name'=Excel"")",URL-encode text strings.,Web link generation in spreadsheets.,Integration with web APIs.,Data preparation for web requests.
150,EOMONTH,Returns the serial number of the last day of the month before or after a specified number of months,Date and time,"EOMONTH(start_date,months)","=EOMONTH(""1-Jan-2024"",1)",End-of-month date calculation.,Monthly billing cycles.,Financial reporting deadlines.,Payroll date calculations.
151,ERF,Returns the error function,Engineering,"ERF(lower_limit,[upper_limit])","=ERF(0,1)",Compute error function integrals.,Probability calculations in statistics.,Engineering tolerance analyses.,Quality control assessments.
152,ERF.PRECISE,Returns the error function,Engineering,ERF.PRECISE(x),=ERF.PRECISE(1.5),High-precision error function.,Advanced statistical analysis.,Engineering simulations.,Scientific research computations.
153,ERFC,Returns the complementary error function,Engineering,ERFC(x),=ERFC(1),Complementary error function calculations.,Statistical distribution analyses.,Evaluate probability tails.,Scientific experiment analysis.
154,ERFC.PRECISE,Returns the complementary ERF function integrated between x and infinity,Engineering,ERFC.PRECISE(x),=ERFC.PRECISE(2),Precise complementary error function.,Advanced scientific modeling.,Probability tail assessments.,Physics data analyses.
155,ERROR.TYPE,Returns a number corresponding to an error type,Information,ERROR.TYPE(error_val),=ERROR.TYPE(#DIV/0!),Identify Excel error types numerically.,Spreadsheet debugging.,Data quality audits.,Error logging automation.
156,EUROCONVERT,"Converts a number to euros, converts a number from euros to a euro member currency, or converts a number from one euro member currency to another by using the euro as an intermediary (triangulation).",Add-in and Automation,"EUROCONVERT(number,source,target,full_precision,[triangulation_precision])","=EUROCONVERT(100,""DEM"",""EUR"",FALSE)",Convert legacy currencies to Euros.,Financial reporting in Eurozone.,Historical financial data conversion.,Currency standardization.
157,EVEN,Rounds a number up to the nearest even integer,Math and trigonometry,EVEN(number),=EVEN(5),Round numbers to nearest even integer.,Inventory packaging calculations.,Batch processing in manufacturing.,Reporting standardization in financial analysis.
158,EXACT,Checks to see if two text values are identical,Text,"EXACT(text1,text2)","=EXACT(""Excel"",""excel"")",Case-sensitive text comparisons.,Data validation checks.,Password verification logic.,Duplicate entry detection.
159,EXP,ReturnsÂ eÂ raised to the power of a given number,Math and trigonometry,EXP(number),=EXP(1),Calculate exponential values.,Financial growth forecasting.,Population growth modeling.,Continuous interest calculation.
160,EXPAND,Expands or pads an array to specified row and column dimensions,Lookup and reference,"EXPAND(array, rows, [columns], [pad_with])","=EXPAND(A1:C1,3,3,""N/A"")",Resize arrays dynamically.,Data formatting for reports.,Standardizing table dimensions.,Prepare data for dashboards.
161,EXPON.DIST,Returns the exponential distribution,Statistical,"EXPON.DIST(x,lambda,cumulative)","=EXPON.DIST(2,0.5,TRUE)",Exponential distribution probabilities.,Failure rate analysis in products.,Waiting time analyses in queues.,Lifetime expectancy predictions.
162,EXPONDIST,Returns the exponential distribution,Compatibility,"EXPONDIST(x,lambda,cumulative)","=EXPONDIST(3,0.2,FALSE)",Probability distribution evaluations.,Reliability analyses in engineering.,Risk modeling in operations.,Time-between-events studies.
163,F.DIST,Returns the F probability distribution,Statistical,"FDIST(x,deg_freedom1,deg_freedom2)","=FDIST(1.5,4,8)",Probability density function for F-distribution.,Analyze variability in research data.,Statistical evaluation in experiments.,Comparing group variances.
164,F.DIST.RT,Returns the F probability distribution,Statistical,"F.DIST.RT(x,deg_freedom1,deg_freedom2)","=F.DIST.RT(3.5,4,10)",Right-tail F-distribution probabilities.,Statistical test result interpretation.,Determine significance in data analyses.,Research hypothesis evaluations.
165,F.INV,Returns the inverse of the F probability distribution,Statistical,"F.INV(probability,deg_freedom1,deg_freedom2)","=F.INV(0.05,4,10)",Inverse F-distribution values.,ANOVA threshold determinations.,Critical value analysis in experiments.,Statistical decision-making.
166,F.INV.RT,Returns the inverse of the F probability distribution,Statistical,"F.INV.RT(probability,deg_freedom1,deg_freedom2)","=F.INV.RT(0.01,5,10)",Right-tail inverse F-distribution calculation.,Risk assessments in research.,Establishing statistical cutoffs.,Variance threshold identification.
167,F.TEST,Returns the result of an F-test,Statistical,"F.TEST(array1,array2)","=F.TEST(A1:C3,A1:C3)",Variance comparison tests.,Statistical validation in research.,Quality control analysis.,Experimental data comparisons.
168,FACT,Returns the factorial of a number,Math and trigonometry,FACT(number),=FACT(5),Calculate factorial values.,Probability calculations.,Combinatorial problem solving.,Statistical permutations.
169,FACTDOUBLE,Returns the double factorial of a number,Math and trigonometry,FACTDOUBLE(number),=FACTDOUBLE(7),Double factorial calculations.,Advanced statistical analyses.,Probability modeling scenarios.,Mathematical sequence computations.
170,FDIST,Returns the F probability distribution,Compatibility,"F.DIST(x,deg_freedom1,deg_freedom2,cumulative)","=F.DIST(2,10,12,TRUE)",F-distribution for variance analysis.,ANOVA testing scenarios.,Quality control process checks.,Statistical hypothesis testing.
171,FILTER,Filters a range of data based on criteria you define,Lookup and reference,"FILTER(array,include,[if_empty])","=FILTER(A1:C3,B1:B3>50)",Dynamically filter data sets.,Create dynamic reports.,Real-time dashboard updates.,Conditional data extraction.
172,FILTERXML,Returns specific data from the XML content by using the specified XPath,Web,"FILTERXML(xml,xpath)","=FILTERXML(""<data><item>1</item></data>"",""//item"")",Parse XML data into Excel.,API response processing.,Web-scraping integration.,Automated data feed processing.
173,FIND,Finds one text value within another (case-sensitive),Text,"FIND(find_text, within_text, [start_num])","=FIND(""a"",""Data"",1)",Locate text within strings.,Text data extraction.,Parsing strings for information.,Data cleanup processes.
174,FINDB,Finds one text value within another (case-sensitive),Text,"FINDB(find_text,within_text,[start_num])","=FINDB(""?"",""??????"")",Locate text within double-byte strings.,Multilingual data parsing.,Asian language text processing.,Data extraction in global reports.
175,FINV,Returns the inverse of the F probability distribution,Compatibility,"FINV(probability,deg_freedom1,deg_freedom2)","=FINV(0.05,6,12)",Legacy inverse F-distribution calculation.,Traditional statistical analysis.,Historical data interpretation.,Research data validations.
176,FISHER,Returns the Fisher transformation,Statistical,FISHER(x),=FISHER(0.8),Fisher transformation for correlation.,Normalize correlation data.,Statistical correlation analysis.,Prepare data for hypothesis testing.
177,FISHERINV,Returns the inverse of the Fisher transformation,Statistical,FISHERINV(y),=FISHERINV(1.1),Inverse Fisher transformation.,Revert normalized correlations.,Statistical data interpretation.,Convert analysis results back to correlations.
178,FIXED,Formats a number as text with a fixed number of decimals,Text,"FIXED(number,[decimals],[no_commas])","=FIXED(1234.567,2,FALSE)",Format numbers with fixed decimals.,Financial report formatting.,Invoice data standardization.,Numeric data presentation.
179,FLOOR,"Rounds a number down, toward zero",Compatibility,"FLOOR(number,significance)","=FLOOR(15.7,5)",Round numbers down to nearest multiple.,Inventory unit calculations.,Pricing structures.,Reporting standardization.
180,FLOOR.MATH,"Rounds a number down, to the nearest integer or to the nearest multiple of significance",Math and trigonometry,"FLOOR.MATH(number,[significance],[mode])",=FLOOR.MATH(-2.3),Mathematical floor rounding.,Data analytics rounding.,Budgeting scenarios.,Sales discount calculations.
181,FLOOR.PRECISE,"Rounds a number the nearest integer or to the nearest multiple of significance. Regardless of the sign of the number, the number is rounded up.",Math and trigonometry,"FLOOR.PRECISE(number,[significance])","=FLOOR.PRECISE(3.7,1)",Precise downward rounding.,Scientific measurement data.,Engineering calculations.,Financial data precision.
182,FORECAST,Returns a value along a linear trend,Statistical,"FORECAST(x,known_y's,known_x's)","=FORECAST(30,A1:A7,B1:B7)",Sales prediction modeling.,Trend analysis in revenue.,Forecast demand for products.,Financial planning scenarios.
183,FORECAST.ETS,Returns a future value based on existing (historical) values by using the AAA version of the Exponential Smoothing (ETS) algorithm,Statistical,"FORECAST.ETS(target_date,values,timeline,[seasonality],[data_completion],[aggregation])","=FORECAST.ETS(""2025-12-31"",B1:B10,A1:A10)",Seasonal sales forecasts.,Demand planning.,Inventory control prediction.,Project future market trends.
184,FORECAST.ETS.CONFINT,Returns a confidence interval for the forecast value at the specified target date,Statistical,"FORECAST.ETS.CONFINT(target_date,values,timeline,[confidence_level],[seasonality],[data_completion],[aggregation])","=FORECAST.ETS.CONFINT(""2025-12-31"",B1:B10,A1:A10,0.95)",Confidence intervals for forecasts.,Forecast accuracy analysis.,Risk assessment in planning.,Evaluate forecast reliability.
185,FORECAST.ETS.SEASONALITY,Returns the length of the repetitive pattern Excel detects for the specified time series,Statistical,"FORECAST.ETS.SEASONALITY(values,timeline,[data_completion],[aggregation])","=FORECAST.ETS.SEASONALITY(B1:B10,A1:A10)",Identify data seasonal patterns.,Seasonal product analysis.,Business cycle evaluation.,Inventory stocking decisions.
186,FORECAST.ETS.STAT,Returns a statistical value as a result of time series forecasting,Statistical,"FORECAST.ETS.STAT(values,timeline,stat_type,[seasonality],[data_completion],[aggregation])","=FORECAST.ETS.STAT(B1:B10,A1:A10,1)",Statistical forecast analysis.,Evaluate model accuracy.,Error rate calculations.,Data-driven decision making.
187,FORECAST.LINEAR,Returns a future value based on existing values,Statistical,"FORECAST.LINEAR(x,known_y's,known_x's)","=FORECAST.LINEAR(25,B1:B3,A1:A3)",Linear sales forecasting.,Financial projections.,Predict future performance.,Revenue trend analysis.
188,FORMULATEXT,Returns the formula at the given reference as text,Lookup and reference,FORMULATEXT(reference),=FORMULATEXT(B2),Display cell formulas as text.,Spreadsheet auditing.,Documentation of Excel formulas.,Error detection and analysis.
189,FREQUENCY,Returns a frequency distribution as a vertical array,Statistical,"FREQUENCY(data_array,bins_array)","=FREQUENCY(A1:A8,B1:B2)",Frequency distribution analysis.,Customer purchase patterns.,Statistical data binning.,Histogram data preparation.
190,FTEST,Returns the result of an F-test,Compatibility,"FTEST(array1,array2)","=FTEST(A1:A6,B1:B6)",Legacy variance comparison test.,Historical data analysis.,Quality assurance evaluation.,Validate experimental variance.
191,FV,Returns the future value of an investment,Financial,"FV(rate,nper,pmt,[pv],[type])","=FV(0.05/12,10,-100)",Future value calculation of investments.,Retirement planning analysis.,Savings account projections.,Investment return estimations.
192,FVSCHEDULE,Returns the future value of an initial principal after applying a series of compound interest rates,Financial,"FVSCHEDULE(principal,schedule)","=FVSCHEDULE(1000,A1:A2)",Future value with variable rates.,Evaluate changing interest rates.,Investment scenario modeling.,Financial planning over periods.
193,GAMMA,Returns the Gamma function value,Statistical,GAMMA(number),=GAMMA(2.5),Gamma function calculations.,Advanced statistical modeling.,Probability distribution analysis.,Scientific research computations.
194,GAMMA.DIST,Returns the gamma distribution,Statistical,"GAMMA.DIST(x,alpha,beta,cumulative)","=GAMMA.DIST(2,3,2,TRUE)",Gamma distribution probabilities.,Risk modeling in finance.,Predictive modeling for events.,Analyze failure rates.
195,GAMMA.INV,Returns the inverse of the gamma cumulative distribution,Statistical,"GAMMA.INV(probability,alpha,beta)","=GAMMA.INV(0.8,2,1)",Inverse gamma distribution values.,Set thresholds in risk management.,Statistical analysis in research.,Probability-based decision making.
196,GAMMADIST,Returns the gamma distribution,Compatibility,"GAMMADIST(x,alpha,beta,cumulative)","=GAMMADIST(3,1,2,FALSE)",Legacy gamma distribution evaluation.,Historical probability modeling.,Risk assessment analysis.,Quality control statistics.
197,GAMMAINV,Returns the inverse of the gamma cumulative distribution,Compatibility,"GAMMAINV(probability,alpha,beta)","=GAMMAINV(0.75,3,1)",Legacy inverse gamma distribution.,Historical data threshold analysis.,Statistical quality evaluations.,Risk management studies.
198,GAMMALN,"Returns the natural logarithm of the gamma function, Î“(x)",Statistical,GAMMALN(x),=GAMMALN(4),Natural log gamma function calculation.,Statistical modeling.,Probability distribution log transformations.,Advanced mathematical analysis.
199,GAMMALN.PRECISE,"Returns the natural logarithm of the gamma function, Î“(x)",Statistical,GAMMALN.PRECISE(x),=GAMMALN.PRECISE(3.5),Precise natural log gamma calculation.,Scientific calculations.,Statistical distributions.,High-accuracy probability modeling.
200,GAUSS,Returns 0.5 less than the standard normal cumulative distribution,Statistical,GAUSS(z),=GAUSS(1.5),Gaussian normal distribution values.,Statistical analysis.,Probability calculation.,Error rate modeling.
201,GCD,Returns the greatest common divisor,Math and trigonometry,"GCD(number1,[number2],...)","=GCD(20,30,50)",Greatest common divisor calculation.,Inventory management.,Packaging unit optimization.,Simplify numeric ratios.
202,GEOMEAN,Returns the geometric mean,Statistical,"GEOMEAN(number1,[number2],...)",=GEOMEAN(A1:A7),Geometric mean calculations.,Investment performance evaluation.,Compound growth analysis.,Statistical data analysis.
203,GESTEP,Tests whether a number is greater than a threshold value,Engineering,"GESTEP(number,[step])","=GESTEP(5,4)",Step function evaluation.,Data threshold alerts.,Quality control checks.,Logical test in decision-making.
204,GETPIVOTDATA,Returns data stored in a PivotTable report,Lookup and reference,"GETPIVOTDATA(data_field,pivot_table,[field1,item1],...)","=GETPIVOTDATA(""Sales"",A3,""Region"",""East"")",Retrieve pivot table data dynamically.,Interactive dashboards.,Automate reports from pivots.,Data-driven summaries.
205,GROUPBY,"Helps a user group, aggregate, sort, and filter data based on the fields you specify",Lookup and reference,"GROUPBY(array,by_array,[lambda])","=GROUPBY(A1:A10,B1:B10,LAMBDA(x,SUM(x)))",Group and summarize data dynamically.,Analyze sales by category.,Aggregate customer data.,Financial summary reports.
206,GROWTH,Returns values along an exponential trend,Statistical,"GROWTH(known_y's,[known_x's],[new_x's],[const])","=GROWTH(A1:A2,B1:B2,B3:B7)",Exponential trend predictions.,Sales forecasting.,Revenue growth analysis.,Market trend assessments.
207,HARMEAN,Returns the harmonic mean,Statistical,"HARMEAN(number1,[number2],...)",=HARMEAN(A1:A2),Harmonic mean calculation.,Speed and time analyses.,Financial averaging.,Data analysis in rates.
208,HEX2BIN,Converts a hexadecimal number to binary,Engineering,"HEX2BIN(number,[places])","=HEX2BIN(""F"",4)",Convert hexadecimal to binary numbers.,Data encoding in software.,Binary representation for hardware.,Programming numeric conversions.
209,HEX2DEC,Converts a hexadecimal number to decimal,Engineering,HEX2DEC(number),"=HEX2DEC(""FF"")",Hexadecimal to decimal conversion.,Numeric conversions for computing.,Hardware communication data parsing.,Programming and debugging.
210,HEX2OCT,Converts a hexadecimal number to octal,Engineering,"HEX2OCT(number,[places])","=HEX2OCT(""A"",3)",Hexadecimal to octal conversion.,Numeric system transformations.,Legacy system integrations.,Data preparation for analysis.
211,HLOOKUP,Looks in the top row of an array and returns the value of the indicated cell,Lookup and reference,"HLOOKUP(lookup_value,table_array,row_index_num,[range_lookup])","=HLOOKUP(""Price"",A1:C3,2,FALSE)",Lookup data horizontally in tables.,Price list management.,Employee data retrieval.,Sales data lookup.
212,HOUR,Converts a serial number to an hour,Date and time,HOUR(serial_number),"=HOUR(""14:30"")",Extract hour from time values.,Time-based reporting.,Employee shift analysis.,Analyze customer activity hours.
213,HSTACK,Appends arrays horizontally andÂ in sequence to return a larger array,Lookup and reference,"HSTACK(array1,[array2],...)","=HSTACK(A1:A3,B1:B3)",Horizontally stack arrays.,Data merging for reporting.,Data restructuring.,Prepare combined datasets.
214,HYPERLINK,"Creates a shortcut or jump that opens a document stored on a network server, an intranet, or the Internet",Lookup and reference,"HYPERLINK(link_location,[friendly_name])","=HYPERLINK(""http://www.example.com"",""Example"")",Create clickable hyperlinks.,Interactive reports.,Dashboard navigation.,Document linking.
215,HYPGEOM.DIST,Returns the hypergeometric distribution,Statistical,"HYPGEOM.DIST(sample_s,number_sample,population_s,number_pop,cumulative)","=HYPGEOM.DIST(2,5,10,20,FALSE)",Hypergeometric distribution probabilities.,Lottery winning probability.,Quality sampling evaluation.,Defect analysis in production.
216,HYPGEOMDIST,Returns the hypergeometric distribution,Compatibility,"HYPGEOMDIST(sample_s,number_sample,population_s,number_pop)","=HYPGEOMDIST(3,4,8,16)",Legacy hypergeometric calculations.,Historical probability studies.,Quality assurance tests.,Sampling strategy evaluations.
217,IF,Returns one value if a condition is TRUE and another if FALSE.,Logical,"IF(logical_test, value_if_true, [value_if_false])","=IF(C216>'=60,""Pass"",""Fail"")",Determine student pass or fail status.,Check if stock levels require reorder.,Evaluate loan eligibility based on salary.,Apply conditional discounts on purchases.
218,IFERROR,"Returns a value you specify if a formula evaluates to an error; otherwise, returns the result of the formula",Logical,"IFERROR(value,value_if_error)","=IFNA(VLOOKUP(C1,A:B,2,FALSE),""Not Found"")",Manage division by zero errors.,Error handling in reports.,Formula robustness improvements.,Data cleansing routines.
219,IFNA,"Returns the value you specify if the expression resolves to #N/A, otherwise returns the result of the expression",Logical,"IFNA(value,value_if_na)","=IFS(A1>80,""A"",A1>60,""B"",TRUE,""C"")",Handle #N/A errors gracefully.,Lookup error management.,Database query handling.,Data matching error reduction.
220,IFS,Checks whether one or more conditions are met and returns a value that corresponds to the first TRUE condition.,Logical,"IFS(logical_test1,value_if_true1,[logical_test2,value_if_true2],...)","=IFS(A1>80,""A"",A1>60,""B"",TRUE,""C"")",Assign grades dynamically.,Sales commission rates.,Customer satisfaction ratings.,Project risk classifications.
221,IMABS,Returns the absolute value (modulus) of a complex number,Engineering,IMABS(inumber),"=IMABS(""3+4i"")",Absolute value of complex numbers.,Signal magnitude in engineering.,Electrical engineering computations.,Mathematical research calculations.
222,IMAGE,Returns an image from a given source,Lookup and reference,"IMAGE(source,[alt_text],[sizing],[height],[width])","=IMAGE(""http://example.com/img.png"")",Embed images from URLs.,Visual product catalog.,Dashboard visualizations.,Reporting with dynamic images.
223,IMAGINARY,Returns the imaginary coefficient of a complex number,Engineering,IMAGINARY(inumber),"=IMAGINARY(""5+3i"")",Extract imaginary part of complex numbers.,Signal analysis.,Engineering calculations.,Physics problem-solving.
224,IMARGUMENT,"Returns the argument theta, an angle expressed in radians",Engineering,IMARGUMENT(inumber),"=IMARGUMENT(""1+i"")",Calculate argument of complex numbers.,Polar coordinate conversion.,Vector angle analysis.,Waveform calculations.
225,IMCONJUGATE,Returns the complex conjugate of a complex number,Engineering,IMCONJUGATE(inumber),"=IMCONJUGATE(""4+3i"")",Conjugate of complex numbers.,Electrical engineering computations.,Complex number simplification.,Mathematical modeling.
226,IMCOS,Returns the cosine of a complex number,Engineering,IMCOS(inumber),"=IMCOS(""1+i"")",Cosine of complex numbers.,Engineering waveform analysis.,Signal processing applications.,Scientific simulations.
227,IMCOSH,Returns the hyperbolic cosine of a complex number,Engineering,IMCOSH(inumber),"=IMCOSH(""2+3i"")",Hyperbolic cosine of complex numbers.,Advanced engineering calculations.,Mathematical modeling.,Physics and wave analysis.
228,IMCOT,Returns the cotangent of a complex number,Engineering,IMCOT(inumber),"=IMCOT(""1+i"")",Cotangent of complex numbers.,Electrical circuit analysis.,Signal phase calculations.,Mathematical computation.
229,IMCSC,Returns the cosecant of a complex number,Engineering,IMCSC(inumber),"=IMCSC(""2+2i"")",Cosecant of complex numbers.,Advanced mathematical modeling.,Electrical signal analysis.,Engineering computations.
230,IMCSCH,Returns the hyperbolic cosecant of a complex number,Engineering,IMCSCH(inumber),"=IMCSCH(""3+2i"")",Hyperbolic cosecant of complex numbers.,Wave behavior modeling.,Engineering physics simulations.,Scientific computations.
